AU,HospitalName,CircuitType,OOBPhone,OrderGroup,CircuitID,CircuitIDLEC,IPCSR,RouterPort,PrimaryIPAddress,SecondaryIPAddress,Notes
101,VCA West Los Angeles Animal Hospital (1900 Sepulved Blvd),"Configure/VeloCloud SD-WAN with Redundant VC 540 w/4G (AT&T ADI 100M, Secondary Spectrum 300M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - MPLS 100M)
ePlus",,Velocloud,"Old MPLS - IUEC.970726..ATI
Hospital / Vending Machine Internet - MetTel 10Mb 23.RBBT.102.527 (Client ID 57608, Account ID 761591, for support contact customerservice@infinitetelecom.com and provide Circuit ID)
Hospital Interent - DSL 1Mb (Pomeroy) 866-364-4357 Customer# 274441",Old - 81KEGS505558GTEW,Old - 12.84.186.66,Fa0/0,"10.3.170.126
VLAN 170 - 10.3.170.0/25
VLAN 171 - 10.3.171.0/27
VLAN 172 - 10.3.171.80.28
VLAN 173 - 10.3.171.32/28
VLAN 174 - 10.3.171.64/28
VLAN 175 Voice - 10.3.172.0/24
VLAN 176 - 10.3.174.0/23
VLAN 177 - 10.3.176.0/24
VLAN 178 - 10.3.178.0/24
Vlan 184 10.3.171.128/27",10.50.0.1,"GROUND FLR, IT ROOM, WALL MOUNT, NORTH WALL, TAG Demarc L2: GED
MPOE IN NETWORK ROOM ON SITE
MetTel 10Mb IP - 67.100.32.224 28 SUBNET, mask 255.255.255.240
Pomeroy Backup DSL 1M - 67.102.217.130 - 134, MASK =255.255.255.248, GATEWAY =67.102.217.129"
107,VCA Santa Anita Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Time Warner 50M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.50.12.1,,"CKL 0002; OUTSIDE HOUSING UNIT IN BACK OF ANIMAL LOC, BACK GATE ON WEST SIDE, SLOT 2 OF 2, TAGGED, NOT EXT'D, RJ48C"
111,VCA Lakewood Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Spectrum 100M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.50.20.1,,"SM JK FLR 2 TELCO ROOM NIU SLOT 2 OF 4 / 2ND FLR, TELCO RM, CARD 1 OF 4, TAGGED, RJ48C"
120,VCA Northern Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Cox 200M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - Pomeroy Site ID H0620090085)",,Velocloud,,,,,"10.50.38.1
Voice VLAN 400 - 10.50.39.0/24",,"Voice VLAN 400 - 10.50.39.0/24
WALL TERM, SOUTH SIDE OF BLDG, OUTDOOR MNT#1, SLOT 1/2"
121,VCA Crocker Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 250M/25M, AT&T DSL 18M/1.5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - Pomeroy Site ID H0620100508)",,Velocloud,,,,,"10.50.40.1
Voice VLAN 400: 10.50.41.0/24",,Aruba Network
122,VCA Anderson Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.50.42.1
Voice VLAN 400: 10.50.43.0/24",,
124,VCA Parkwood Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Time Warner 50M/5M, Secondary AT&T DSL 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.46.1
Voice VLAN 400 - 10.50.47.0/24",,"NEC SIP
1.1,DUAL-MNT. 1XA,RJ48C BELOW"
126,VCA Asher Animal Hospital,"Configure/VeloCloud SD-WAN (Spectrum 100M/10M, Secondary Spectrum Fiber 25M/25M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.50.1
Voice VLAN 400 - 10.50.51.0/24",,"NEC UCaaS
No 4G Service
MOUNT 1, JK3"
127,VCA Wingate Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.52.1
Voice VLAN 400 - 10.50.53.0/24",,NEC SIP
128,VCA Mission Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Charter 60M/4M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.50.54.1,,"NEC SIP
RJ48C #1 ON SHELF 1 AT MPOE/ SHELF 1/SLOT1"
