AU,Name,Cluster
101,h0101-vm1.vcaantech.com,H0101 vSAN Cluster
101,h0101-vm2.vcaantech.com,H0101 vSAN Cluster
101,h0101-vm3.vcaantech.com,H0101 vSAN Cluster
101,h0101-vm4.vcaantech.com,H0101 vSAN Cluster
129,h0129-vm01.vcaantech.com,H0129 MSA Cluster
129,h0129-vm02.vcaantech.com,H0129 MSA Cluster
154,h0154-vm1.vcaantech.com,H0154 vSAN Cluster
154,h0154-vm2.vcaantech.com,H0154 vSAN Cluster
154,h0154-vm3.vcaantech.com,H0154 vSAN Cluster
215,h0215-vm.vcaantech.com,H0215-cluster
366,h0366-vm01.vcaantech.com,H0366 MSA Cluster
366,h0366-vm02.vcaantech.com,H0366 MSA Cluster
393,h0393-vm1.vcaantech.com,H0393 vSAN Cluster
393,h0393-vm2.vcaantech.com,H0393 vSAN Cluster
393,h0393-vm3.vcaantech.com,H0393 vSAN Cluster
422,h0422-vm.vcaantech.com,H0422-cluster
473,h0473-vm.vcaantech.com,H0473
506,h0506-vm01.vcaantech.com,H0506 MSA Cluster
506,h0506-vm02.vcaantech.com,H0506 MSA Cluster
506,h0506-vm03.vcaantech.com,H0506 MSA Cluster
508,h0508-vm01.vcaantech.com,H0508 MSA Cluster
508,h0508-vm02.vcaantech.com,H0508 MSA Cluster
515,h0515-vm.vcaantech.com,H0515-cluster
540,h0540-vm.vcaantech.com,H0540-cluster
585,h0585-vm.vcaantech.com,H0585-cluster
595,h0595-vm01.vcaantech.com,H0595 MSA Cluster
595,h0595-vm02.vcaantech.com,H0595 MSA Cluster
634,h0634-vm01.vcaantech.com,H0634 MSA Cluster
634,h0634-vm02.vcaantech.com,H0634 MSA Cluster
657,h0657-vm.vcaantech.com,H0657-cluster
688,h0688-vm1.vcaantech.com,H0688 vSAN Cluster
688,h0688-vm2.vcaantech.com,H0688 vSAN Cluster
688,h0688-vm3.vcaantech.com,H0688 vSAN Cluster
729,h0729-vm01.vcaantech.com,H0729 vSAN Cluster
729,h0729-vm02.vcaantech.com,H0729 vSAN Cluster
755,h0755-vm.vcaantech.com,H0755-cluster
759,h0759-vm01.vcaantech.com,H0759 vSAN Cluster
759,h0759-vm02.vcaantech.com,H0759 vSAN Cluster
759,h0759-vm03.vcaantech.com,H0759 vSAN Cluster
785,h0785-vm01.vcaantech.com,H0785 MSA Cluster
785,h0785-vm02.vcaantech.com,H0785 MSA Cluster
785,h0785-vm03.vcaantech.com,H0785 MSA Cluster
801,h0801-vm01.vcaantech.com,H0801 vSAN Cluster
801,h0801-vm02.vcaantech.com,H0801 vSAN Cluster
801,h0801-vm03.vcaantech.com,H0801 vSAN Cluster
805,h0805-vm01.vcaantech.com,H0805 MSA Cluster
805,h0805-vm02.vcaantech.com,H0805 MSA Cluster
