"HOSPITAL
NUMBER",OPERATING NAME,SHORT NAME,ADDRESS,CITY,"ST/
PROV","POSTAL
CODE",COUNTRY,PHONE,FAX,BACKLINE,HM,MD,REG,"REGION
GROUP",COMPANY
0,,,,,,,,,,,,,,,
101,VCA West Los Angeles Animal Hospital,West Los Angeles,1900 S. Sepulveda Blvd,Los Angeles,CA,90025,USA,1-310-473-2951,1-310-473-2779,,Jose Limon,Michael Geist,SCS03,SC,US Hospitals
107,VCA Santa Anita Animal Hospital,Santa Anita,245 West Duarte Road,Monrovia,CA,91016,USA,1-626-359-3281,1-626-305-0512,1-626-357-8215,Deborah La Fountaine,Jeffrey Najarian,SC02,SC,US Hospitals
111,VCA Lakewood Animal Hospital,Lakewood/CA,10701 South Street,Cerritos,CA,90703,USA,1-562-926-3600,1-562-804-0910,,Megan Phillips,Ronald Morein,SC03,SC,US Hospitals
120,VCA Northern Animal Hospital,Northern,2611 W. Northern Ave.,Phoenix,AZ,85051,USA,1-602-995-0460,1-602-864-0261,1-602-995-0855,Tammy Smith,Sheila Tempel,SW02,SW,US Hospitals
121,VCA Crocker Animal Hospital,Crocker,475 N. Jackson Ave.,San Jose,CA,95133,USA,1-408-272-1330,1-408-259-7642,1-408-272-9321,Crystal Cuadra Cutler,Alisa Shen,NC03,NC,US Hospitals
122,VCA Anderson Animal Hospital,Anderson,1285 South Sheridan Blvd.,Lakewood,CO,80232,USA,1-303-922-1127,1-303-935-7748,1-303-922-7860,Amy Edwards,,MSW01,MSW,US Hospitals
124,VCA Parkwood Animal Hospital,Parkwood,6330 Fallbrook Ave,Woodland Hills,CA,91367,USA,1-818-884-5506,1-818-884-4538,1-818-884-5527,Alice Duff,Sean Herbeck,SC01,SC,US Hospitals
126,VCA Asher Animal Hospital,Asher,2505 Hilltop Dr.,Redding,CA,96002,USA,1-530-224-2200,1-530-221-0701,1-530-224-2203,Annette Hixenbaugh,Larry Correia,NC04,NC,US Hospitals
127,VCA Wingate Animal Hospital,Wingate,9464 E. Caley Ave,Englewood,CO,80111,USA,1-303-771-8620,1-303-771-8678,1-303-771-8660,Elisha Lewis,Evan Grossman,MSW01,MSW,US Hospitals
128,VCA Mission Animal Hospital,Mission/CA,25 West Mission Rd,Alhambra,CA,91801,USA,1-626-289-3643,1-626-284-0116,1-626-289-3644,Kristin Fernandez,Gabrielle Fisher,SC02,SC,US Hospitals
129,VCA Veterinary Care Animal Hospital and Referral Center,Vet Care,9901 Montgomery Blvd. NE,Albuquerque,NM,87111,USA,1-505-292-5353,1-505-291-5554,1-505-293-1667,Candie Ross,Dawn Nolan,SCS04,SC,US Hospitals
130,VCA Wyoming Animal Hospital,Wyoming,"2740 Wyoming Blvd NE, Suite 1",Albuquerque,NM,87111,USA,1-505-298-7444,1-505-293-8161,1-505-298-7451,James Romero,Kacie Martin,SW02,SW,US Hospitals
131,VCA Berwyn Animal Hospital,Berwyn,2845 South Harlem Ave,Berwyn,IL,60402,USA,1-708-749-4200,1-708-749-1716,,Jennifer Hewett,,C08,CE,US Hospitals
132,VCA Rossmoor-El Dorado Animal Hospital,Rossmoor,10832 Los Alamitos Blvd,Los Alamitos,CA,90720,USA,1-562-598-8621,1-562-598-9561,1-562-598-1714,Olga Molina,,SC06,SC,US Hospitals
133,VCA West Mesa Animal Hospital,West Mesa,"2611 Coors Blvd. NW, Suite B",Albuquerque,NM,87120,USA,1-505-836-6048,1-505-836-1736,1-505-831-5259,Deidre Wood,Cameron Voss,SW02,SW,US Hospitals
134,VCA Howell Branch Animal Hospital,Howell Branch,1401 Howell Branch Rd,Winter Park,FL,32789,USA,1-407-645-0779,1-407-629-2345,1-407-629-5906,Kathleen Kennedy,James Burk,SE07,SE,US Hospitals
137,VCA Companion Animal Hospital,Companion,2133 Eureka Wy,Redding,CA,96001,USA,1-530-225-8910,1-530-225-8920,1-530-225-8912,Sharron Carlock,Richard Suther,NC04,NC,US Hospitals
138,VCA Detwiler Animal Hospital,Detwiler,22 Kenhorst Blvd.,Reading,PA,19607,USA,1-610-777-6546,1-610-777-2372,1-610-777-5844,Tabitha Kopicz,Claire Fuhrman-Keener,MA03,MA,US Hospitals
139,VCA Bay Area Animal Hospital,Bay Area,4501 Shattuck Avenue,Oakland,CA,94609,USA,1-510-654-8375,1-510-547-7799,1-510-654-5201,Amber Lynch,Louisa Bynum,NC01,NC,US Hospitals
140,VCA Albany Animal Hospital,Albany,1550 Solano Ave,Albany,CA,94707,USA,1-510-526-2053,1-510-526-2142,1-510-526-5196,Dietrich Vranka,,NC01,NC,US Hospitals
141,VCA Animal Hospital (Burbank),Burbank/CA,2723 West Olive,Burbank,CA,91505,USA,1-818-845-7246,1-818-848-3236,1-818-848-6244,Connie Young,,SC02,SC,US Hospitals
